Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register-login-logout,Chrome 66.0.3359.181,,2018-05-18 11:49:25,2018-05-18 11:52:21,2m - 55.918s,FAILED
,,,,,,
Test Cases/Registration/Verify -account registration,Chrome 66.0.3359.181,,2018-05-18 11:49:26,2018-05-18 11:50:22,55.661s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-18 11:49:28,2018-05-18 11:49:49,20.547s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-18 11:49:49,2018-05-18 11:49:50,1.294s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:49:50,2018-05-18 11:50:00,10.132s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:00,2018-05-18 11:50:00,0.344s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:50:00,2018-05-18 11:50:04,3.629s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:50:04,2018-05-18 11:50:04,0.501s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:04,2018-05-18 11:50:05,0.751s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:05,2018-05-18 11:50:06,0.598s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:06,2018-05-18 11:50:06,0.332s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:50:06,2018-05-18 11:50:07,1.154s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 11:50:07,2018-05-18 11:50:09,2.048s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:50:09,2018-05-18 11:50:12,2.549s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 11:50:12,2018-05-18 11:50:14,2.016s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:50:14,2018-05-18 11:50:15,1.125s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:50:15,2018-05-18 11:50:16,0.665s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:16,2018-05-18 11:50:18,2.517s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-18 11:50:18,2018-05-18 11:50:18,0.199s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:18,2018-05-18 11:50:22,3.694s,PASSED
,,,,,,
Test Cases/Login/verify-login,Chrome 66.0.3359.181,,2018-05-18 11:50:22,2018-05-18 11:51:10,47.863s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-18 11:50:23,2018-05-18 11:50:50,26.952s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-18 11:50:50,2018-05-18 11:50:51,1.162s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:50:51,2018-05-18 11:51:02,11.562s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:51:02,2018-05-18 11:51:04,1.915s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 11:51:04,2018-05-18 11:51:06,2.006s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 11:51:06,2018-05-18 11:51:08,1.291s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:51:08,2018-05-18 11:51:10,2.285s,PASSED
,,,,,,
Test Cases/logout/Verify-logout,Chrome 66.0.3359.181,,2018-05-18 11:51:10,2018-05-18 11:52:18,1m - 7.838s,FAILED
callTestCase,Chrome 66.0.3359.181,,2018-05-18 11:51:11,2018-05-18 11:51:37,26.251s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 11:51:37,2018-05-18 11:51:42,5.008s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 11:51:42,2018-05-18 11:52:18,36.062s,FAILED
